Accession	Female_Parent	Male_Parent	Cross_Type
TMS18F1009P0028	TMS15F1024P0006	TMS15F1310P0019	biparental
TMS18F1010P0005	TMS15F1025P0001	TMS15F1305P0021	biparental
TMS18F1015P0015	TMS15F1069P0007	TMS15F1367P0001	biparental
TMS18F1020P0008	TMS15F1072P0006	TMS15F1326P0004	biparental
TMS18F1024P0005	TMS15F1072P0012	TMS15F1398P0008	biparental
TMS18F1025P0038	TMS15F1072P0031	TMS15F1156P0014	biparental
TMS18F1026P0014	TMS15F1072P0031	TMS15F1196P0010	biparental
TMS18F1033P0018	TMS15F1079P0020	TMS15F1326P0004	biparental
TMS18F1035P0011	TMS15F1079P0025	TMS15F1153P0009	biparental
TMS18F1040P0063	TMS15F1080P0004	TMS15F1318P0024	biparental
TMS18F1040P0067	TMS15F1080P0004	TMS15F1318P0024	biparental
TMS18F1046P0001	TMS15F1080P0012	TMS15F1305P0021	biparental
TMS18F1047P0024	TMS15F1080P0012	TMS15F1398P0008	biparental
TMS18F1049P0022	TMS15F1081P0003	TMS15F1153P0009	biparental
TMS18F1051P0030	TMS15F1081P0003	TMS15F1156P0001	biparental
TMS18F1051P0037	TMS15F1081P0003	TMS15F1156P0001	biparental
TMS18F1056P0032	TMS15F1081P0003	TMS15F1398P0008	biparental
TMS18F1056P0040	TMS15F1081P0003	TMS15F1398P0008	biparental
TMS18F1056P0052	TMS15F1081P0003	TMS15F1398P0008	biparental
TMS18F1056P0064	TMS15F1081P0003	TMS15F1398P0008	biparental
TMS18F1056P0065	TMS15F1081P0003	TMS15F1398P0008	biparental
TMS18F1059P0010	TMS15F1100P0005	TMS15F1153P0009	biparental
TMS18F1059P0012	TMS15F1100P0005	TMS15F1153P0009	biparental
TMS18F1059P0013	TMS15F1100P0005	TMS15F1153P0009	biparental
TMS18F1068P0082	TMS15F1103P0006	TMS15F1305P0007	biparental
TMS18F1068P0090	TMS15F1103P0006	TMS15F1305P0007	biparental
TMS18F1075P0001	TMS15F1109P0003	TMS15F1153P0009	biparental
TMS18F1075P0011	TMS15F1109P0003	TMS15F1153P0009	biparental
TMS18F1076P0010	TMS15F1109P0003	TMS15F1156P0014	biparental
TMS18F1083P0014	TMS15F1124P0001	TMS15F1367P0001	biparental
TMS18F1083P0032	TMS15F1124P0001	TMS15F1367P0001	biparental
TMS18F1084P0001	TMS15F1124P0001	TMS15F1398P0008	biparental
TMS18F1088P0008	TMS15F1130P0007	TMS15F1177P0004	biparental
TMS18F1089P0001	TMS15F1130P0007	TMS15F1398P0008	biparental
TMS18F1091P0014	TMS15F1130P0012	TMS15F1177P0004	biparental
TMS18F1092P0007	TMS15F1130P0012	TMS15F1396P0004	biparental
TMS18F1092P0022	TMS15F1130P0012	TMS15F1396P0004	biparental
TMS18F1099P0015	TMS15F1132P0013	TMS15F1156P0001	biparental
TMS18F1102P0031	TMS15F1158P0001	TMS15F1318P0028	biparental
TMS18F1108P0012	TMS15F1153P0009	TMS15F1196P0010	biparental
TMS18F1109P0011	TMS15F1153P0009	TMS15F1318P0024	biparental
TMS18F1123P0019	TMS15F1154P0002	TMS15F1403P0003	biparental
TMS18F1159P0002	TMS15F1230P0005	TMS15F1318P0024	biparental
TMS18F1159P0011	TMS15F1230P0005	TMS15F1318P0024	biparental
TMS18F1161P0009	TMS15F1234P0001	TMS15F1132P0013	biparental
TMS18F1163P0008	TMS15F1244P0004	TMS15F1132P0013	biparental
TMS18F1163P0020	TMS15F1244P0004	TMS15F1132P0013	biparental
TMS18F1167P0007	TMS15F1269P0004	TMS15F1321P0001	biparental
TMS18F1173P0009	TMS15F1270P0001	TMS15F1132P0013	biparental
TMS18F1188P0020	TMS15F1300P0002	TMS15F1321P0001	biparental
TMS18F1191P0013	TMS15F1305P0021	TMS15F1201P0017	biparental
TMS18F1209P0002	TMS15F1326P0004	TMS15F1159P0001	biparental
TMS18F1210P0008	TMS15F1326P0004	TMS15F1367P0001	biparental
TMS18F1214P0016	TMS15F1328P0001	TMS15F1367P0001	biparental
TMS18F1216P0001	TMS15F1333P0001	TMS15F1069P0007	biparental
TMS18F1217P0019	TMS15F1351P0003	TMS15F1069P0007	biparental
TMS18F1220P0006	TMS15F1351P0003	TMS15F1154P0002	biparental
TMS18F1221P0048	TMS15F1351P0003	TMS15F1396P0001	biparental
TMS18F1221P0068	TMS15F1351P0003	TMS15F1396P0001	biparental
TMS18F1223P0022	TMS15F1393P0006	TMS15F1153P0009	biparental
TMS18F1225P0002	TMS15F1396P0001	TMS15F1109P0003	biparental
TMS18F1258P0113	TMS13F1020P0001	IITA-TMS-IBA930007	biparental
TMS18F1259P0022	TMS13F1020P0001	IITA-TMS-IBA972205	biparental
TMS18F1259P0092	TMS13F1020P0001	IITA-TMS-IBA972205	biparental
TMS18F1259P0139	TMS13F1020P0001	IITA-TMS-IBA972205	biparental
TMS18F1260P0004	TMS13F1020P0001	TMEB419	biparental
TMS18F1263P0064	TMS13F1053P0010	IITA-TMS-IBA000070	biparental
TMS18F1263P0103	TMS13F1053P0010	IITA-TMS-IBA000070	biparental
TMS18F1264P0016	TMS13F1053P0010	IITA-TMS-IBA030060A	biparental
TMS18F1264P0060	TMS13F1053P0010	IITA-TMS-IBA030060A	biparental
TMS18F1264P0069	TMS13F1053P0010	IITA-TMS-IBA030060A	biparental
TMS18F1269P0003	TMS13F1053P0010	TMS13F1106P0004	biparental
TMS18F1273P0011	TMS13F1053P0010	TMS13F1343P0002	biparental
TMS18F1275P0004	TMS13F1053P0015	IITA-TMS-IBA000070	biparental
TMS18F1276P0008	TMS13F1053P0015	IITA-TMS-IBA030060A	biparental
TMS18F1276P0010	TMS13F1053P0015	IITA-TMS-IBA030060A	biparental
TMS18F1278P0024	TMS13F1053P0015	IITA-TMS-IBA972205	biparental
TMS18F1278P0077	TMS13F1053P0015	IITA-TMS-IBA972205	biparental
TMS18F1279P0001	TMS13F1053P0015	TMEB419	biparental
TMS18F1279P0006	TMS13F1053P0015	TMEB419	biparental
